transaction_id,timestamp,user_id,receiver_id,amount,transaction_type,location,device_type,is_rooted_device,network_type,time_of_day,is_fraud
100021,2025-01-02 11:02:49.229845,1662,5313,125.04,send,Hyderabad,mobile,0,WiFi,morning,0
100022,2025-01-02 12:47:57.691338,1309,5281,581.86,merchant_payment,Mumbai,mobile,0,4G,afternoon,0
100023,2025-01-02 14:33:06.152830,1770,5726,185.79,receive,Kolkata,tablet,0,WiFi,afternoon,0
100024,2025-01-02 16:18:14.614322,1344,5031,1256.44,merchant_payment,Ahmedabad,mobile,0,WiFi,afternoon,0
100025,2025-01-02 18:03:23.075815,1492,5337,1183.08,merchant_payment,Hyderabad,mobile,0,4G,evening,0
100026,2025-01-02 19:48:31.537307,1414,5183,309.01,send,Delhi,tablet,0,5G,evening,0
100027,2025-01-02 21:33:39.998799,1806,5023,3826.0,send,Pune,mobile,0,4G,evening,0
100028,2025-01-02 23:18:48.460292,1386,5544,370.23,send,Pune,mobile,0,4G,evening,0
100029,2025-01-03 01:03:56.921784,1192,5446,98.3,receive,Ahmedabad,mobile,0,5G,night,0
100030,2025-01-03 02:49:05.383276,1956,5074,226.08,merchant_payment,Bangalore,mobile,0,5G,night,0
100031,2025-01-03 04:34:13.844768,1277,5010,173.44,send,Pune,mobile,0,5G,night,0
100032,2025-01-03 06:19:22.306261,1161,5484,720.25,send,Kolkata,tablet,0,WiFi,morning,1
100033,2025-01-03 08:04:30.767753,1460,5456,143.26,send,Pune,mobile,0,4G,morning,0
100034,2025-01-03 09:49:39.229245,1314,5566,287.37,merchant_payment,Pune,mobile,0,5G,morning,0
100035,2025-01-03 11:34:47.690738,1022,5564,674.89,send,Kolkata,mobile,0,WiFi,morning,0
100036,2025-01-03 13:19:56.152230,1253,5660,566.03,send,Ahmedabad,mobile,0,4G,afternoon,0
100037,2025-01-03 15:05:04.613722,1748,5160,486.56,send,Ahmedabad,mobile,0,5G,afternoon,0
100038,2025-01-03 16:50:13.075215,1857,5882,558.92,receive,Kolkata,mobile,1,5G,afternoon,1
100039,2025-01-03 18:35:21.536707,1561,5014,340.19,receive,Mumbai,mobile,0,WiFi,evening,0
100040,2025-01-03 20:20:29.998199,1475,5178,99.11,merchant_payment,Delhi,mobile,0,4G,evening,0
100041,2025-01-03 22:05:38.459691,1059,5412,331.35,send,Chennai,tablet,0,5G,evening,0
100042,2025-01-03 23:50:46.921184,1511,5878,787.41,receive,Pune,mobile,0,WiFi,evening,0
100043,2025-01-04 01:35:55.382676,1682,5053,429.69,send,Ahmedabad,tablet,0,4G,night,0
100044,2025-01-04 03:21:03.844168,1476,5408,728.86,send,Chennai,mobile,1,4G,night,0
100045,2025-01-04 05:06:12.305661,1700,5847,274.02,receive,Chennai,mobile,0,5G,night,0
100046,2025-01-04 06:51:20.767153,1976,5022,1331.87,send,Bangalore,mobile,0,4G,morning,0
100047,2025-01-04 08:36:29.228645,1783,5030,38.23,receive,Hyderabad,tablet,0,5G,morning,0
100048,2025-01-04 10:21:37.690138,1190,5703,567.61,send,Pune,tablet,0,4G,morning,0
100049,2025-01-04 12:06:46.151630,1958,5260,1898.62,send,Hyderabad,tablet,1,WiFi,afternoon,0
100050,2025-01-04 13:51:54.613122,1687,5205,2203.27,merchant_payment,Hyderabad,tablet,0,WiFi,afternoon,0
100051,2025-01-04 15:37:03.074614,1958,5059,390.79,receive,Bangalore,mobile,0,4G,afternoon,0
100052,2025-01-04 17:22:11.536107,1563,5471,130.82,merchant_payment,Chennai,mobile,0,4G,afternoon,1
100053,2025-01-04 19:07:19.997599,1876,5776,1932.31,merchant_payment,Kolkata,mobile,0,5G,evening,0
100054,2025-01-04 20:52:28.459091,1567,5466,467.84,receive,Hyderabad,mobile,0,4G,evening,0
100055,2025-01-04 22:37:36.920584,1244,5012,420.33,merchant_payment,Ahmedabad,tablet,0,5G,evening,0
100056,2025-01-05 00:22:45.382076,1832,5631,201.77,receive,Kolkata,mobile,0,4G,night,0
100057,2025-01-05 02:07:53.843568,1505,5927,141.19,send,Kolkata,mobile,0,4G,night,0
100058,2025-01-05 03:53:02.305061,1131,5974,865.98,send,Bangalore,mobile,0,4G,night,0
100059,2025-01-05 05:38:10.766553,1485,5290,962.82,receive,Ahmedabad,mobile,0,4G,night,1
100060,2025-01-05 07:23:19.228045,1819,5850,602.78,send,Bangalore,mobile,0,4G,morning,0
100061,2025-01-05 09:08:27.689537,1647,5760,229.51,send,Delhi,mobile,0,5G,morning,0
100062,2025-01-05 10:53:36.151030,1021,5354,169.86,send,Pune,mobile,0,5G,morning,0
100063,2025-01-05 12:38:44.612522,1841,5639,117.65,send,Hyderabad,mobile,0,5G,afternoon,0
100064,2025-01-05 14:23:53.074014,1167,5075,281.31,send,Chennai,mobile,0,5G,afternoon,0
100065,2025-01-05 16:09:01.535507,1274,5873,180.21,send,Mumbai,mobile,0,4G,afternoon,0
100066,2025-01-05 17:54:09.996999,1388,5716,89.18,send,Ahmedabad,tablet,0,4G,afternoon,0
100067,2025-01-05 19:39:18.458491,1601,5561,945.15,send,Bangalore,mobile,0,4G,evening,0
100068,2025-01-05 21:24:26.919983,1316,5591,131.75,receive,Kolkata,mobile,0,5G,evening,0
100069,2025-01-05 23:09:35.381476,1014,5441,1318.07,send,Delhi,mobile,0,5G,evening,0
100070,2025-01-06 00:54:43.842968,1242,5991,730.75,merchant_payment,Mumbai,mobile,0,5G,night,0
100071,2025-01-06 02:39:52.304460,1777,5241,661.39,merchant_payment,Bangalore,mobile,0,5G,night,1
100072,2025-01-06 04:25:00.765953,1346,5861,2605.32,receive,Delhi,mobile,0,4G,night,0
100073,2025-01-06 06:10:09.227445,1565,5154,136.21,merchant_payment,Kolkata,mobile,0,WiFi,morning,0
100074,2025-01-06 07:55:17.688937,1898,5786,1180.59,send,Hyderabad,mobile,0,WiFi,morning,0
100075,2025-01-06 09:40:26.150430,1340,5096,365.9,send,Pune,tablet,0,4G,morning,0
100076,2025-01-06 11:25:34.611922,1092,5726,6445.07,merchant_payment,Pune,mobile,0,5G,morning,0
100077,2025-01-06 13:10:43.073414,1367,5294,336.7,send,Delhi,mobile,0,5G,afternoon,0
100078,2025-01-06 14:55:51.534906,1956,5209,286.49,merchant_payment,Bangalore,tablet,0,5G,afternoon,0
100079,2025-01-06 16:40:59.996399,1455,5343,754.11,receive,Pune,mobile,0,WiFi,afternoon,0
100080,2025-01-06 18:26:08.457891,1428,5088,399.85,send,Pune,mobile,0,5G,evening,0
100081,2025-01-06 20:11:16.919383,1509,5818,230.8,receive,Hyderabad,mobile,0,5G,evening,0
100082,2025-01-06 21:56:25.380876,1776,5776,186.74,receive,Kolkata,mobile,0,5G,evening,0
100083,2025-01-06 23:41:33.842368,1943,5937,2117.95,send,Chennai,tablet,1,4G,evening,0
100084,2025-01-07 01:26:42.303860,1035,5390,153.94,send,Pune,mobile,0,4G,night,0
100085,2025-01-07 03:11:50.765353,1206,5325,615.9,merchant_payment,Delhi,mobile,0,4G,night,1
100086,2025-01-07 04:56:59.226845,1081,5940,1416.84,receive,Mumbai,tablet,0,4G,night,0
100087,2025-01-07 06:42:07.688337,1932,5889,1486.97,send,Ahmedabad,mobile,0,WiFi,morning,0
100088,2025-01-07 08:27:16.149829,1562,5832,269.98,send,Kolkata,mobile,0,4G,morning,0
100089,2025-01-07 10:12:24.611322,1872,5157,400.94,merchant_payment,Hyderabad,mobile,0,WiFi,morning,0
100090,2025-01-07 11:57:33.072814,1388,5668,330.24,receive,Kolkata,mobile,0,WiFi,morning,1
100091,2025-01-07 13:42:41.534306,1002,5651,106.16,receive,Hyderabad,mobile,0,WiFi,afternoon,0
100092,2025-01-07 15:27:49.995799,1390,5633,843.46,merchant_payment,Kolkata,mobile,0,4G,afternoon,0
100093,2025-01-07 17:12:58.457291,1566,5577,512.09,send,Ahmedabad,mobile,0,4G,afternoon,0
100094,2025-01-07 18:58:06.918783,1106,5619,2080.96,receive,Chennai,mobile,0,4G,evening,0
100095,2025-01-07 20:43:15.380276,1772,5659,216.33,merchant_payment,Delhi,mobile,0,WiFi,evening,0
100096,2025-01-07 22:28:23.841768,1822,5137,1463.66,merchant_payment,Mumbai,mobile,0,WiFi,evening,0
100097,2025-01-08 00:13:32.303260,1477,5923,1570.63,send,Pune,mobile,0,4G,night,0
100098,2025-01-08 01:58:40.764752,1703,5674,516.5,send,Chennai,mobile,0,4G,night,0
100099,2025-01-08 03:43:49.226245,1402,5428,56.21,merchant_payment,Delhi,tablet,0,5G,night,0
100100,2025-01-08 05:28:57.687737,1730,5452,295.13,send,Mumbai,mobile,0,4G,night,0
100101,2025-01-08 07:14:06.149229,1556,5612,2939.14,merchant_payment,Kolkata,mobile,0,WiFi,morning,0
100102,2025-01-08 08:59:14.610722,1162,5850,663.19,send,Ahmedabad,mobile,0,WiFi,morning,0
100103,2025-01-08 10:44:23.072214,1202,5911,985.75,send,Pune,mobile,0,5G,morning,0
100104,2025-01-08 12:29:31.533706,1958,5819,450.71,send,Mumbai,tablet,0,5G,afternoon,0
100105,2025-01-08 14:14:39.995199,1996,5141,394.08,merchant_payment,Bangalore,mobile,0,5G,afternoon,0
100106,2025-01-08 15:59:48.456691,1270,5083,76.15,merchant_payment,Mumbai,mobile,0,4G,afternoon,0
100107,2025-01-08 17:44:56.918183,1863,5177,1090.88,receive,Delhi,tablet,0,WiFi,afternoon,0
100108,2025-01-08 19:30:05.379675,1816,5198,1450.53,merchant_payment,Chennai,mobile,0,WiFi,evening,0
100109,2025-01-08 21:15:13.841168,1271,5624,190.4,send,Pune,mobile,0,4G,evening,0
100110,2025-01-08 23:00:22.302660,1456,5568,412.05,send,Chennai,mobile,0,4G,evening,0
100111,2025-01-09 00:45:30.764152,1462,5972,360.06,merchant_payment,Pune,tablet,0,4G,night,0
100112,2025-01-09 02:30:39.225645,1727,5691,750.06,merchant_payment,Bangalore,mobile,0,WiFi,night,0
100113,2025-01-09 04:15:47.687137,1252,5421,285.9,merchant_payment,Delhi,mobile,0,4G,night,0
100114,2025-01-09 06:00:56.148629,1702,5401,1250.55,merchant_payment,Ahmedabad,mobile,0,5G,morning,0
100115,2025-01-09 07:46:04.610122,1296,5698,529.18,send,Ahmedabad,mobile,0,4G,morning,0
100116,2025-01-09 09:31:13.071614,1725,5471,38.5,send,Mumbai,mobile,0,WiFi,morning,0
100117,2025-01-09 11:16:21.533106,1720,5218,767.18,merchant_payment,Bangalore,mobile,0,5G,morning,0
100118,2025-01-09 13:01:29.994598,1749,5925,1334.55,send,Kolkata,mobile,0,4G,afternoon,0
100119,2025-01-09 14:46:38.456091,1338,5929,155.7,send,Hyderabad,mobile,0,4G,afternoon,0
100120,2025-01-09 16:31:46.917583,1879,5828,741.54,merchant_payment,Kolkata,mobile,0,4G,afternoon,0
100121,2025-01-09 18:16:55.379075,1053,5987,3071.62,send,Delhi,mobile,0,5G,evening,0
100122,2025-01-09 20:02:03.840568,1792,5729,551.18,merchant_payment,Bangalore,mobile,0,5G,evening,0
100123,2025-01-09 21:47:12.302060,1922,5632,1543.22,send,Chennai,mobile,0,4G,evening,0
100124,2025-01-09 23:32:20.763552,1217,5951,316.67,merchant_payment,Bangalore,mobile,0,5G,evening,0
100125,2025-01-10 01:17:29.225045,1764,5906,483.98,receive,Hyderabad,mobile,0,4G,night,0
100126,2025-01-10 03:02:37.686537,1188,5175,401.57,receive,Ahmedabad,mobile,0,WiFi,night,1
100127,2025-01-10 04:47:46.148029,1380,5023,334.58,receive,Delhi,mobile,0,4G,night,0
100128,2025-01-10 06:32:54.609521,1493,5725,425.08,send,Bangalore,mobile,0,WiFi,morning,0
100129,2025-01-10 08:18:03.071014,1041,5917,96.48,receive,Pune,mobile,0,5G,morning,0
100130,2025-01-10 10:03:11.532506,1157,5235,353.94,receive,Kolkata,mobile,0,5G,morning,0
100131,2025-01-10 11:48:19.993998,1015,5013,1877.71,receive,Mumbai,mobile,0,4G,morning,0
100132,2025-01-10 13:33:28.455491,1813,5101,187.98,send,Kolkata,mobile,0,4G,afternoon,0
100133,2025-01-10 15:18:36.916983,1065,5929,169.67,send,Delhi,tablet,0,5G,afternoon,0
100134,2025-01-10 17:03:45.378475,1857,5536,523.85,send,Ahmedabad,mobile,0,5G,afternoon,0
100135,2025-01-10 18:48:53.839967,1839,5876,550.7,merchant_payment,Bangalore,tablet,0,4G,evening,0
100136,2025-01-10 20:34:02.301460,1521,5523,718.71,send,Ahmedabad,mobile,0,WiFi,evening,0
100137,2025-01-10 22:19:10.762952,1344,5785,439.77,merchant_payment,Kolkata,mobile,0,4G,evening,0
100138,2025-01-11 00:04:19.224444,1129,5452,529.46,merchant_payment,Bangalore,mobile,1,4G,night,0
100139,2025-01-11 01:49:27.685937,1648,5431,346.93,merchant_payment,Kolkata,mobile,0,5G,night,0
100140,2025-01-11 03:34:36.147429,1472,5793,137.58,merchant_payment,Delhi,mobile,0,WiFi,night,0
100141,2025-01-11 05:19:44.608921,1063,5606,458.8,send,Chennai,mobile,0,4G,night,0
100142,2025-01-11 07:04:53.070414,1139,5713,1016.98,merchant_payment,Ahmedabad,tablet,0,5G,morning,0
100143,2025-01-11 08:50:01.531906,1499,5533,824.73,receive,Ahmedabad,mobile,0,5G,morning,0
100144,2025-01-11 10:35:09.993398,1593,5852,86.12,merchant_payment,Kolkata,mobile,0,WiFi,morning,0
100145,2025-01-11 12:20:18.454890,1392,5979,633.92,merchant_payment,Mumbai,mobile,0,4G,afternoon,0
100146,2025-01-11 14:05:26.916383,1675,5723,201.79,send,Kolkata,tablet,0,WiFi,afternoon,0
100147,2025-01-11 15:50:35.377875,1419,5652,1982.6,send,Delhi,mobile,1,4G,afternoon,1
100148,2025-01-11 17:35:43.839367,1289,5293,682.85,receive,Kolkata,tablet,0,4G,afternoon,1
100149,2025-01-11 19:20:52.300860,1379,5810,1207.47,merchant_payment,Mumbai,mobile,0,4G,evening,0
100150,2025-01-11 21:06:00.762352,1773,5913,503.29,send,Pune,mobile,0,4G,evening,0
100151,2025-01-11 22:51:09.223844,1490,5101,461.25,send,Mumbai,mobile,0,5G,evening,0
100152,2025-01-12 00:36:17.685337,1231,5502,2199.19,send,Delhi,mobile,0,5G,night,0
100153,2025-01-12 02:21:26.146829,1041,5304,1303.46,receive,Bangalore,mobile,0,4G,night,0
100154,2025-01-12 04:06:34.608321,1028,5871,554.38,merchant_payment,Kolkata,mobile,0,4G,night,0
100155,2025-01-12 05:51:43.069813,1135,5540,403.56,merchant_payment,Chennai,mobile,0,4G,night,0
100156,2025-01-12 07:36:51.531306,1201,5553,89.37,send,Mumbai,mobile,0,4G,morning,0
100157,2025-01-12 09:21:59.992798,1840,5355,681.68,send,Pune,mobile,0,4G,morning,0
100158,2025-01-12 11:07:08.454290,1780,5303,434.37,send,Mumbai,mobile,0,4G,morning,0
100159,2025-01-12 12:52:16.915783,1930,5496,857.44,receive,Kolkata,mobile,0,4G,afternoon,0
100160,2025-01-12 14:37:25.377275,1033,5658,1161.91,merchant_payment,Bangalore,mobile,0,5G,afternoon,0
100161,2025-01-12 16:22:33.838767,1048,5768,1690.74,send,Ahmedabad,mobile,0,WiFi,afternoon,0
100162,2025-01-12 18:07:42.300260,1503,5974,690.21,receive,Kolkata,mobile,0,4G,evening,0
100163,2025-01-12 19:52:50.761752,1407,5227,173.06,merchant_payment,Ahmedabad,mobile,0,4G,evening,0
100164,2025-01-12 21:37:59.223244,1574,5236,57.44,merchant_payment,Pune,mobile,0,5G,evening,0
100165,2025-01-12 23:23:07.684736,1728,5873,216.0,send,Pune,mobile,1,4G,evening,0
100166,2025-01-13 01:08:16.146229,1805,5892,1869.62,send,Delhi,mobile,0,5G,night,0
100167,2025-01-13 02:53:24.607721,1099,5455,3051.81,send,Chennai,mobile,0,WiFi,night,0
100168,2025-01-13 04:38:33.069213,1684,5013,388.42,merchant_payment,Kolkata,mobile,0,5G,night,0
100169,2025-01-13 06:23:41.530706,1872,5210,114.32,merchant_payment,Mumbai,mobile,0,5G,morning,0
100170,2025-01-13 08:08:49.992198,1726,5741,257.65,send,Mumbai,tablet,0,4G,morning,0
100171,2025-01-13 09:53:58.453690,1987,5397,1537.34,send,Delhi,mobile,0,4G,morning,0
100172,2025-01-13 11:39:06.915183,1547,5100,272.87,merchant_payment,Bangalore,mobile,0,5G,morning,0
100173,2025-01-13 13:24:15.376675,1961,5031,888.14,merchant_payment,Kolkata,mobile,0,WiFi,afternoon,0
100174,2025-01-13 15:09:23.838167,1739,5898,583.22,merchant_payment,Hyderabad,mobile,0,WiFi,afternoon,0
100175,2025-01-13 16:54:32.299659,1613,5528,1002.25,send,Bangalore,mobile,1,4G,afternoon,0
100176,2025-01-13 18:39:40.761152,1943,5649,3035.13,send,Mumbai,mobile,0,4G,evening,0
100177,2025-01-13 20:24:49.222644,1462,5329,888.72,send,Pune,mobile,0,4G,evening,0
100178,2025-01-13 22:09:57.684136,1643,5166,570.73,send,Kolkata,mobile,0,4G,evening,0
100179,2025-01-13 23:55:06.145629,1769,5459,3389.28,receive,Pune,mobile,0,WiFi,evening,0
100180,2025-01-14 01:40:14.607121,1005,5822,698.93,send,Mumbai,mobile,0,4G,night,1
100181,2025-01-14 03:25:23.068613,1218,5952,222.97,send,Chennai,mobile,1,4G,night,1
100182,2025-01-14 05:10:31.530106,1503,5982,979.91,merchant_payment,Bangalore,mobile,0,WiFi,night,0
100183,2025-01-14 06:55:39.991598,1767,5993,770.82,send,Hyderabad,mobile,0,4G,morning,0
100184,2025-01-14 08:40:48.453090,1398,5100,362.16,merchant_payment,Chennai,mobile,0,5G,morning,0
100185,2025-01-14 10:25:56.914582,1871,5621,293.66,send,Hyderabad,mobile,0,4G,morning,0
100186,2025-01-14 12:11:05.376075,1795,5855,365.67,merchant_payment,Chennai,mobile,0,4G,afternoon,0
100187,2025-01-14 13:56:13.837567,1393,5173,289.49,send,Bangalore,mobile,0,4G,afternoon,0
100188,2025-01-14 15:41:22.299059,1207,5749,377.75,merchant_payment,Mumbai,mobile,1,5G,afternoon,1
100189,2025-01-14 17:26:30.760552,1015,5162,212.13,send,Hyderabad,mobile,0,5G,afternoon,1
100190,2025-01-14 19:11:39.222044,1858,5905,724.99,send,Ahmedabad,mobile,0,5G,evening,0
100191,2025-01-14 20:56:47.683536,1554,5728,672.63,merchant_payment,Bangalore,mobile,0,5G,evening,0
100192,2025-01-14 22:41:56.145029,1892,5776,695.9,send,Hyderabad,mobile,0,WiFi,evening,1
100193,2025-01-15 00:27:04.606521,1461,5263,462.96,send,Ahmedabad,mobile,0,4G,night,0
100194,2025-01-15 02:12:13.068013,1691,5804,412.54,merchant_payment,Bangalore,mobile,0,WiFi,night,0
100195,2025-01-15 03:57:21.529505,1575,5274,2083.92,merchant_payment,Chennai,mobile,0,4G,night,0
100196,2025-01-15 05:42:29.990998,1864,5003,527.11,send,Bangalore,mobile,0,4G,night,0
100197,2025-01-15 07:27:38.452490,1743,5028,1743.7,send,Chennai,mobile,0,4G,morning,0
100198,2025-01-15 09:12:46.913982,1241,5326,181.92,send,Mumbai,mobile,0,4G,morning,0
100199,2025-01-15 10:57:55.375475,1564,5940,888.18,send,Chennai,tablet,0,WiFi,morning,0
100200,2025-01-15 12:43:03.836967,1096,5149,236.35,merchant_payment,Delhi,mobile,0,4G,afternoon,0
100201,2025-01-15 14:28:12.298459,1900,5540,282.55,receive,Mumbai,mobile,0,4G,afternoon,0
100202,2025-01-15 16:13:20.759951,1734,5488,326.39,receive,Pune,mobile,0,5G,afternoon,0
100203,2025-01-15 17:58:29.221444,1485,5822,306.56,merchant_payment,Pune,mobile,0,4G,afternoon,0
100204,2025-01-15 19:43:37.682936,1407,5438,308.09,receive,Pune,mobile,0,WiFi,evening,0
100205,2025-01-15 21:28:46.144428,1231,5065,1664.49,merchant_payment,Kolkata,mobile,0,WiFi,evening,0
100206,2025-01-15 23:13:54.605921,1749,5356,515.64,send,Ahmedabad,mobile,0,4G,evening,0
100207,2025-01-16 00:59:03.067413,1655,5533,617.11,send,Kolkata,mobile,1,4G,night,0
100208,2025-01-16 02:44:11.528905,1171,5252,311.95,receive,Bangalore,mobile,1,4G,night,0
100209,2025-01-16 04:29:19.990398,1541,5235,1160.89,send,Bangalore,mobile,0,5G,night,0
100210,2025-01-16 06:14:28.451890,1036,5227,702.79,send,Ahmedabad,mobile,0,4G,morning,0
100211,2025-01-16 07:59:36.913382,1525,5525,361.79,send,Delhi,mobile,0,5G,morning,0
100212,2025-01-16 09:44:45.374874,1160,5313,101.06,send,Bangalore,mobile,0,5G,morning,0
100213,2025-01-16 11:29:53.836367,1839,5049,611.73,receive,Mumbai,mobile,0,4G,morning,0
100214,2025-01-16 13:15:02.297859,1699,5118,876.27,receive,Mumbai,mobile,0,4G,afternoon,0
100215,2025-01-16 15:00:10.759351,1243,5054,185.15,send,Pune,mobile,0,4G,afternoon,0
100216,2025-01-16 16:45:19.220844,1086,5650,366.72,send,Chennai,mobile,0,5G,afternoon,0
100217,2025-01-16 18:30:27.682336,1796,5565,843.16,merchant_payment,Hyderabad,mobile,0,4G,evening,1
100218,2025-01-16 20:15:36.143828,1578,5044,102.42,send,Bangalore,mobile,0,4G,evening,0
100219,2025-01-16 22:00:44.605321,1682,5815,257.53,receive,Delhi,mobile,0,4G,evening,0
100220,2025-01-16 23:45:53.066813,1557,5053,718.32,merchant_payment,Pune,mobile,0,5G,evening,0
100221,2025-01-17 01:31:01.528305,1574,5586,1487.75,send,Ahmedabad,mobile,0,4G,night,0
100222,2025-01-17 03:16:09.989797,1953,5558,4384.28,merchant_payment,Kolkata,mobile,0,WiFi,night,0
100223,2025-01-17 05:01:18.451290,1646,5525,3493.48,merchant_payment,Ahmedabad,mobile,0,5G,night,0
100224,2025-01-17 06:46:26.912782,1796,5677,568.94,send,Mumbai,mobile,0,5G,morning,0
100225,2025-01-17 08:31:35.374274,1028,5102,303.62,send,Mumbai,mobile,0,WiFi,morning,0
100226,2025-01-17 10:16:43.835767,1620,5792,1240.32,merchant_payment,Mumbai,mobile,0,5G,morning,0
100227,2025-01-17 12:01:52.297259,1556,5770,286.12,send,Hyderabad,mobile,0,5G,afternoon,0
100228,2025-01-17 13:47:00.758751,1340,5982,229.96,merchant_payment,Hyderabad,mobile,0,4G,afternoon,1
100229,2025-01-17 15:32:09.220244,1798,5849,363.12,receive,Bangalore,tablet,0,5G,afternoon,0
100230,2025-01-17 17:17:17.681736,1958,5868,320.32,send,Kolkata,mobile,0,4G,afternoon,0
100231,2025-01-17 19:02:26.143228,1331,5398,744.44,send,Delhi,mobile,0,4G,evening,0
100232,2025-01-17 20:47:34.604720,1640,5138,269.78,receive,Hyderabad,mobile,0,4G,evening,0
100233,2025-01-17 22:32:43.066213,1506,5675,536.53,send,Ahmedabad,mobile,0,5G,evening,1
100234,2025-01-18 00:17:51.527705,1348,5921,2428.32,merchant_payment,Chennai,tablet,0,5G,night,0
100235,2025-01-18 02:02:59.989197,1473,5387,556.76,merchant_payment,Hyderabad,mobile,0,5G,night,0
100236,2025-01-18 03:48:08.450690,1231,5111,2245.63,merchant_payment,Mumbai,tablet,0,5G,night,0
100237,2025-01-18 05:33:16.912182,1190,5614,1639.35,send,Ahmedabad,mobile,0,4G,night,1
100238,2025-01-18 07:18:25.373674,1225,5017,890.73,merchant_payment,Delhi,mobile,0,4G,morning,0
100239,2025-01-18 09:03:33.835167,1385,5780,345.8,merchant_payment,Bangalore,mobile,0,4G,morning,0
100240,2025-01-18 10:48:42.296659,1377,5182,1394.8,merchant_payment,Hyderabad,mobile,0,4G,morning,0
100241,2025-01-18 12:33:50.758151,1283,5884,383.76,receive,Mumbai,mobile,0,5G,afternoon,0
100242,2025-01-18 14:18:59.219643,1958,5536,491.76,merchant_payment,Pune,mobile,0,5G,afternoon,0
100243,2025-01-18 16:04:07.681136,1633,5541,685.53,receive,Chennai,mobile,0,4G,afternoon,0
100244,2025-01-18 17:49:16.142628,1628,5171,490.11,send,Chennai,mobile,0,WiFi,afternoon,0
100245,2025-01-18 19:34:24.604120,1973,5409,239.78,merchant_payment,Pune,mobile,0,WiFi,evening,0
100246,2025-01-18 21:19:33.065613,1745,5740,107.01,send,Bangalore,tablet,0,4G,evening,0
100247,2025-01-18 23:04:41.527105,1259,5378,1285.8,send,Bangalore,mobile,0,5G,evening,0
100248,2025-01-19 00:49:49.988597,1359,5188,871.61,merchant_payment,Hyderabad,mobile,0,4G,night,0
100249,2025-01-19 02:34:58.450090,1710,5858,88.18,send,Bangalore,mobile,0,5G,night,0
100250,2025-01-19 04:20:06.911582,1456,5230,233.51,merchant_payment,Ahmedabad,mobile,0,4G,night,0
100251,2025-01-19 06:05:15.373074,1411,5833,589.38,merchant_payment,Kolkata,mobile,0,5G,morning,0
100252,2025-01-19 07:50:23.834566,1649,5852,767.07,send,Kolkata,mobile,0,4G,morning,0
100253,2025-01-19 09:35:32.296059,1318,5119,107.94,send,Mumbai,mobile,0,WiFi,morning,0
100254,2025-01-19 11:20:40.757551,1677,5156,450.68,merchant_payment,Mumbai,mobile,0,5G,morning,0
100255,2025-01-19 13:05:49.219043,1225,5784,845.27,receive,Ahmedabad,mobile,0,4G,afternoon,0
100256,2025-01-19 14:50:57.680536,1819,5687,346.71,merchant_payment,Mumbai,mobile,0,5G,afternoon,0
100257,2025-01-19 16:36:06.142028,1234,5465,636.4,merchant_payment,Kolkata,mobile,0,5G,afternoon,1
100258,2025-01-19 18:21:14.603520,1684,5104,302.61,send,Hyderabad,mobile,0,5G,evening,0
